Region,Watershed,Segment Interval,Independent Variable,RMSPE,Mean Response,SD Response,Mean Residuals,SD Residuals,AIC,Bias,RAV,FileBaseName
CPF,UM,20m,sfm_deposition_logtrans,0.032994425182781,0.0629611175947714,0.0338424125913399,-0.0889333090982928,0.528737705542939,-159.356774300328,0.0001200137770904,0.0004842061823347,ch_sfm_deposition_sum_corr_0.7_evaluation
CPF,UM,20m,sfm_erosion_logtrans,0.0701399901489606,0.0826588563915529,0.0774962793907376,-0.183153031624974,0.741343673150955,-112.230578367715,-0.0005537054189762,0.0010002888381896,ch_sfm_erosion_sum_corr_0.7_evaluation
CPF,UM,20m,sfm_net change_logtrans,0.0454007829100967,0.0455485402384008,0.0487801986840461,-0.30439351774764,0.956265806779137,-167.821248893619,0.0018374083177722,0.0006602335679096,ch_sfm_net_change_corr_0.7_evaluation
CPF,UW,20m,lidar_erosion_logtrans,0.0224257471436277,0.0278066215139365,0.0240212298482204,-0.271994156258892,0.911558389749786,-299.896701851789,-6.33242696406673e-05,0.0003448080558539,ch_lidar_erosion_sum_corr_0.7_evaluation
CPF,UW,20m,sfm_deposition_logtrans,0.0754090801011633,0.119944178396607,0.111462705870048,-0.0440854539771651,0.384978580958355,-128.067441383044,-0.0097866303281681,0.575917316153038,ch_sfm_deposition_sum_corr_0.7_evaluation
CPF,UW,20m,sfm_erosion_logtrans,0.0195218999329703,0.0240623027974379,0.0292614449502958,-0.0970789719172176,0.551359632823275,-278.056217911946,-0.0026792939899759,0.579429913392722,ch_sfm_erosion_sum_corr_0.7_evaluation
CPF,UW,20m,sfm_net change_logtrans,0.0885591414672093,0.0941858582855683,0.0971787655814871,-0.740712024384576,1.61885485718581,-181.991815103574,0.0030447104608112,0.0011505010138945,ch_sfm_net_change_corr_0.7_evaluation
CPF,CPF,5m,sfm_deposition_logtrans,0.0126417478547335,0.0194103189408953,0.0181650884314895,-0.165989351296084,0.729863598490652,-6373.95432963571,-0.0017397215265828,0.340586653228431,ch_sfm_deposition_sum_corr_0.7_evaluation
CPF,ME,5m,sfm_deposition_logtrans,0.0132966184316456,0.0129270289076797,0.013908802443392,-0.33844772319524,1.01593497603472,-1686.51472655509,0.0004044651305212,0.0001823116737239,ch_sfm_deposition_sum_corr_0.7_evaluation
CPF,ME,5m,sfm_erosion_logtrans,0.050978317980974,0.0450068615713295,0.0561473658917102,-0.432082198551129,1.135988203044,-935.840075332117,-0.0003864623218893,0.0006872921814319,ch_sfm_erosion_sum_corr_0.7_evaluation
CPF,MM,5m,lidar_erosion_logtrans,0.0229263614890506,0.0293019532250021,0.0263497544942881,-0.413365814248863,1.38502921893995,-918.685488613693,-3.77448124434248e-05,0.0003334857549923,ch_lidar_erosion_sum_corr_0.7_evaluation
CPF,MM,5m,sfm_deposition_logtrans,0.0085815424537274,0.0080831377575916,0.0088583573970204,-0.473505295559859,1.21603385260181,-1273.14286949761,5.81354172230817e-05,0.0001295789854481,ch_sfm_deposition_sum_corr_0.7_evaluation
CPF,MM,5m,sfm_erosion_logtrans,0.0652638608748657,0.0720397885784429,0.0728974671021317,-0.266026587563076,0.92597066637302,-434.586532345773,-0.0001997618471983,0.0008829741813252,ch_sfm_erosion_sum_corr_0.7_evaluation
CPF,MM,5m,sfm_net change_logtrans,0.0549227035754286,0.0577825893482826,0.0607827192341372,-0.468726999518112,1.40189938748689,-578.56737958803,8.78647300387334e-05,0.0010798982670362,ch_sfm_net_change_corr_0.7_evaluation
CPF,MW,5m,sfm_deposition_logtrans,0.0175060002005699,0.0266064703341693,0.0179136144257419,-0.203119124591994,0.819351517540667,-1440.71251577863,2.35615408158214e-05,0.000789590931494,ch_sfm_deposition_sum_corr_0.7_evaluation
CPF,MW,5m,sfm_erosion_logtrans,0.0240359209960765,0.0253347866090967,0.0321342520457783,-0.280853618227256,0.928902127211765,-1380.53514978026,-0.002503661727568,0.264348986458933,ch_sfm_erosion_sum_corr_0.7_evaluation
CPF,MW,5m,sfm_net change_logtrans,0.026019883093103,0.0304618537847468,0.0268859811529245,-0.292111343826041,0.967452381835923,-1280.08292495382,5.44801820529902e-05,0.000362603319502,ch_sfm_net_change_corr_0.7_evaluation
CPF,UE,5m,lidar_erosion_logtrans,0.0199001349188098,0.0262092336668123,0.0205073786858182,-0.262951158309751,0.956266952335028,-1020.44658982723,0.0003193691487033,0.0002826075473053,ch_lidar_erosion_sum_corr_0.7_evaluation
