rid,binaryID
514,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000010
515,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000001
516,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000000001001001010001000
517,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100000000100100101000100
518,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000010010010100010
519,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000000001001001010001
520,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000011
521,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000010010010100011
522,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000001
523,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100000001
524,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000000001001001011
525,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000000001001001010001001
526,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000011
527,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100000000101
528,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100000000100100101000101
529,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000010011
530,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100001
531,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000000001001010
532,10001100000000000101101010001001000000000000000001000000000001000000000000000000000000100000000100101
533,100011000000000001011010100010010000000000000000010000000000010000000000000000000000001000000001001011
534,1000110000000000010110101000100100000000000000000100000000000100000000000000000000000010000000010010011
32,1
