"pointid","xcoord","ycoord"
280,410177.616814936,4452632.31384954
281,410624.616782049,4452668.31384689
282,410585.616784918,4452662.31384733
283,410451.616794777,4452684.31384571
284,410686.616777487,4452715.31384343
285,410607.616783299,4452682.31384586
286,410660.6167794,4452731.31384225
287,410326.616803974,4452782.3138385
288,410121.616819056,4452783.31383843
289,410219.616811846,4452796.31383747
290,410429.616796396,4452888.3138307
291,410312.616805004,4452903.3138296
292,410281.616807285,4452890.31383056
293,409851.616838922,4452911.31382901
294,410020.616826487,4453015.31382136
295,410061.616823471,4452969.31382474
296,410291.616806549,4452979.31382401
297,409944.616832079,4452998.31382261
298,410215.61681214,4453025.31382062
299,410045.616824648,4453037.31381974
300,409926.616833403,4453053.31381856
301,410016.616826782,4453101.31381503
302,410139.616817732,4453090.31381584
303,410148.61681707,4453083.31381636
304,410004.616827665,4453098.31381525
305,408345.616949724,4456016.31360056
306,408405.61694531,4456036.31359909
307,408516.616937143,4455980.31360321
308,408639.616928094,4455876.31361086
309,408697.616923826,4455833.31361403
310,408690.616924341,4455757.31361962
311,408656.616926843,4455614.31363014
312,408763.61691897,4455375.31364772
313,408776.616918014,4455367.31364831
314,408859.616911907,4455325.3136514
315,408917.61690764,4455275.31365508
316,408939.616906021,4455256.31365648
317,408970.616903741,4455236.31365795
318,409030.616899326,4455177.31366229
319,409108.616893587,4455146.31366457
320,409195.616887186,4455076.31366972
321,409192.616887407,4454853.31368613
322,409217.616885568,4454782.31369135
323,409320.616877989,4454633.31370232
324,409306.616879019,4454551.31370835
325,409320.616877989,4454420.31371799
326,409528.616862686,4454385.31372056
327,409558.616860479,4454351.31372306
328,409606.616856947,4454116.31374035
329,409682.616851356,4454051.31374514
330,409773.61684466,4454003.31374867
331,409795.616843042,4453925.31375441
332,409848.616839142,4453872.31375831
333,410166.616815746,4453105.31381474
334,410527.616789185,4453221.3138062
335,410301.616805813,4453208.31380716
336,410125.616818762,4453291.31380105
337,410126.616818689,4453306.31379995
338,409550.616861067,4453185.31380885
339,410533.616788744,4453223.31380606
340,410162.61681604,4453255.3138037
341,409954.616831343,4453264.31380304
342,410131.616818321,4453317.31379914
343,410130.616818394,4453316.31379921
344,410384.616799706,4453320.31379892
345,409925.616833477,4453392.31379362
346,409523.616863054,4453442.31378994
347,410258.616808977,4453447.31378958
348,410129.616818468,4453368.31379539
349,409602.616857241,4453485.31378678
350,409080.616895647,4454059.31374455
351,409092.616894764,4454062.31374433
352,409157.616889982,4454102.31374138
353,409253.616882919,4454206.31373373
354,409582.616858713,4454108.31374094
355,410349.616802281,4453604.31377802
356,410236.616810595,4453640.31377538
357,410090.616821337,4453549.31378207
358,409904.616835022,4453604.31377802
359,409679.616851576,4453636.31377567
360,410310.616805151,4453677.31377265
361,410292.616806475,4453679.31377251
362,410081.616821999,4453683.31377221
363,410056.616823839,4453735.31376839
364,410035.616825384,4453723.31376927
365,410380.616800001,4453796.3137639
366,410348.616802355,4453796.3137639
367,409228.616884758,4453812.31376272
368,410090.616821337,4453848.31376007
369,410023.616826267,4453790.31376434
370,409318.616878137,4453894.31375669
371,409400.616872104,4454111.31374072
372,410365.616801104,4453837.31376088
373,410067.616823029,4453947.31375279
374,409895.616835684,4453960.31375183
375,410391.616799191,4453965.31375146
376,410385.616799633,4453899.31375632
377,409684.616851208,4454006.31374845
378,409275.6168813,4454010.31374815
379,409627.616855402,4454039.31374602
380,409785.616843777,4454081.31374293
381,409715.616848928,4454143.31373837
382,409687.616850988,4454176.31373594
383,408826.616914335,4454573.31370673
384,408889.6169097,4454582.31370607
385,408963.616904256,4454514.31371107
386,409290.616880197,4454412.31371858
387,410214.616812214,4454165.31373675
388,410086.616821631,4454207.31373366
389,410068.616822956,4454185.31373528
390,409986.616828989,4454143.31373837
391,409977.616829651,4454172.31373623
392,409095.616894544,4454209.31373351
393,409133.616891748,4454209.31373351
394,410255.616809197,4454279.31372836
395,410213.616812288,4454283.31372807
396,410219.616811846,4454287.31372777
397,408879.616910436,4454460.31371504
398,408888.616909774,4454480.31371357
399,409622.61685577,4454309.31372615
400,409659.616853048,4454234.31373167
401,409759.61684569,4454323.31372512
402,409834.616840172,4454355.31372277
403,409273.616881447,4454380.31372093
404,409567.616859817,4454389.31372027
405,409581.616858787,4454368.31372181
406,408738.61692081,4454816.31368885
407,408725.616921766,4454863.31368539
408,408800.616916248,4454973.3136773
409,410207.616812729,4454422.31371784
410,410208.616812655,4454414.31371843
411,410215.61681214,4454429.31371733
412,410072.616822662,4454458.31371519
413,409740.616847088,4454505.31371173
414,409599.616857462,4454527.31371011
415,409784.616843851,4454841.31368701
416,409563.616860111,4454870.31368488
417,409420.616870632,4454924.31368091
418,409325.616877622,4454977.31367701
419,409307.616878946,4454980.31367679
420,409280.616880932,4454974.31367723
421,409339.616876592,4454647.31370129
422,408815.616915144,4454558.31370783
423,409500.616864746,4454599.31370482
424,409366.616874605,4454610.31370401
425,409426.616870191,4454661.31370026
426,408751.616919853,4454689.3136982
427,409224.616885053,4454704.31369709
428,409221.616885273,4454629.31370261
429,408958.616904623,4454746.313694
430,409860.616838259,4454772.31369209
431,408883.616910141,4454841.31368701
432,408722.616921987,4455175.31366244
433,408778.616917867,4455306.3136528
434,408803.616916027,4454966.31367782
435,409128.616892116,4455008.31367473
436,409404.616871809,4455026.3136734
437,409254.616882845,4455053.31367141
438,408704.616923311,4455090.31366869
439,408579.616932508,4455101.31366788
440,408680.616925077,4455218.31365927
441,409101.616894102,4455157.31366376
442,408670.616925813,4455202.31366045
443,409040.61689859,4455228.31365854
444,408986.616902563,4455261.31365611
445,408913.616907934,4455243.31365744
446,409233.61688439,4455264.31365589
447,409229.616884685,4455248.31365707
448,408504.616938026,4455264.31365589
449,408659.616926622,4455339.31365037
450,408679.616925151,4455354.31364927
451,408569.616933244,4455309.31365258
452,408677.616925298,4455328.31365118
453,408779.616917793,4455402.31364574
454,409624.616855623,4456215.31358592
455,409547.616861288,4456210.31358629
456,409545.616861435,4456208.31358644
457,409499.61686482,4456213.31358607
458,409488.616865629,4456225.31358519
459,409456.616867983,4456249.31358342
460,409440.616869161,4456263.31358239
461,409360.616875046,4456328.31357761
462,409241.616883802,4456289.31358048
463,408988.616902416,4456311.31357886
464,408673.616925592,4456531.31356267
465,408556.6169342,4456591.31355826
466,408293.61695355,4456789.31354369
467,408198.61696054,4456777.31354457
468,408161.616963262,4456778.3135445
469,408133.616965322,4456704.31354994
470,408104.616967456,4456571.31355973
471,408121.616966205,4456523.31356326
472,408125.616965911,4456507.31356444
473,408207.616959878,4456434.31356981
474,408305.616952667,4456378.31357393
475,408418.616944354,4456361.31357518
476,408393.616946193,4456293.31358018
477,408510.616937585,4456295.31358004
478,408506.616937879,4456184.3135882
479,408588.616931846,4456122.31359276
480,408625.616929124,4455993.31360225
481,408632.616928609,4455981.31360314
482,409216.616885641,4455469.31364081
483,409099.616894249,4455532.31363617
484,408906.616908449,4455325.3136514
485,408982.616902858,4455534.31363603
486,408847.61691279,4455444.31364265
487,409028.616899473,4455724.31362205
488,408782.616917572,4455593.31363168
489,408979.616903078,4455827.31361447
490,409553.616860847,4456207.31358651
491,408566.616933465,4455873.31361108
492,408876.616910656,4455885.3136102
493,408789.616917057,4455936.31360645
494,408691.616924268,4455912.31360821
495,408475.61694016,4455976.31360351
496,408485.616939424,4455989.31360255
497,408735.61692103,4455982.31360306
498,408449.616942073,4455984.31360292
499,408595.616931331,4456005.31360137
500,409158.616889909,4456069.31359666
501,409084.616895353,4456227.31358504
502,409021.616899988,4456282.31358099
503,409014.616900503,4456283.31358092
504,409023.616899841,4456101.31359431
505,409476.616866512,4456124.31359262
506,409217.616885568,4456125.31359254
507,408595.616931331,4456175.31358886
508,409091.616894838,4456179.31358857
509,409393.616872619,4456198.31358717
510,409566.61685989,4456200.31358702
511,409465.616867321,4456230.31358482
512,408405.61694531,4456232.31358467
513,408559.61693398,4456259.31358268
514,409048.616898002,4456280.31358114
515,408287.616953992,4456297.31357989
516,408326.616951122,4456324.3135779
517,409933.616832888,4456508.31356436
518,409479.616866291,4456417.31357106
519,409414.616871073,4456380.31357378
520,409376.616873869,4456344.31357643
521,408303.616952815,4456350.31357599
522,409378.616873722,4456358.3135754
523,408424.616943912,4456368.31357466
524,408298.616953182,4456432.31356996
525,408700.616923606,4456462.31356775
526,409503.616864525,4456471.31356709
527,408081.616969148,4456508.31356436
528,408145.616964439,4456528.31356289
529,409271.616881595,4456552.31356113
530,408046.616971723,4456715.31354913
531,408223.616958701,4456632.31355524
532,407956.616978345,4456920.31353405
533,408001.616975034,4456915.31353442
534,407957.616978271,4456950.31353184
535,408318.616951711,4456822.31354126
