"pointid","xcoord","ycoord"
347,409603.616857168,4457279.31350764
348,409462.616867542,4458111.31344642
349,410053.616824059,4457991.31345525
350,409840.616839731,4458081.31344863
351,411190.616740405,4455836.31361381
352,411137.616744305,4455888.31360998
353,410892.616762331,4455886.31361013
354,410966.616756886,4455917.31360785
355,411142.616743937,4456427.31357032
356,410262.616808682,4457335.31350352
357,411460.61672054,4457591.31348468
358,410321.616804342,4458239.31343701
359,410233.616810816,4458402.31342501
360,410777.616770792,4458232.31343752
361,410573.616785801,4458420.31342369
362,411109.616746365,4458184.31344105
363,410902.616761595,4458507.31341729
364,410189.616814053,4458387.31342612
365,410660.6167794,4458451.31342141
366,410217.616811993,4458498.31341795
367,410283.616807137,4458652.31340662
368,410126.616818689,4458361.31342803
369,411895.616688536,4457470.31349359
370,411964.616683459,4457457.31349454
371,412183.616667346,4457500.31349138
372,412439.616648511,4457554.31348741
373,411756.616698762,4458009.31345393
374,411188.616740553,4458555.31341376
375,411380.616726426,4458313.31343156
376,411411.616724145,4458682.31340441
377,411341.616729296,4458679.31340463
378,409856.616838554,4458041.31345158
379,409702.616849884,4458127.31344525
380,409407.616871589,4458136.31344459
381,409254.616882845,4457978.31345621
382,409124.61689241,4458313.31343156
383,409626.616855476,4458320.31343105
384,409387.61687306,4458761.3133986
385,409289.61688027,4458689.3134039
386,408929.616906757,4458132.31344488
387,408712.616922723,4458407.31342465
388,408838.616913452,4458329.31343039
389,408425.616943838,4458288.3134334
390,408911.616908081,4458389.31342597
391,408510.616937585,4458499.31341788
392,408920.616907419,4458406.31342472
393,408773.616918235,4458729.31340096
394,409085.616895279,4458818.31339441
395,411131.616744746,4458585.31341155
396,410637.616781092,4458700.31340309
397,410997.616754605,4459662.31333231
398,411068.616749382,4459981.31330884
399,410092.61682119,4459657.31333268
400,410318.616804562,4460088.31330097
401,410670.616778664,4459706.31332907
402,411402.616724808,4459833.31331973
403,410748.616772925,4460426.3132761
404,410268.616808241,4460371.31328015
405,409507.616864231,4459110.31337292
406,410039.616825089,4460263.31328809
407,410134.6168181,4460280.31328684
408,410133.616818173,4460278.31328699
409,409847.616839216,4460688.31325682
410,409670.616852238,4460989.31323468
411,409516.616863569,4460926.31323931
412,409571.616859522,4461410.3132037
413,410467.6167936,4461162.31322195
414,409252.616882993,4461793.31317552
415,409401.61687203,4462038.3131575
416,409027.616899547,4461768.31317736
417,407579.617006082,4456214.31358599
418,407352.617022784,4456261.31358254
419,407936.616979816,4456768.31354523
420,408034.616972606,4457474.31349329
421,408108.616967162,4457815.3134682
422,407198.617034114,4457560.31348696
423,407734.616994678,4457765.31347188
424,407749.616993575,4457668.31347902
425,407032.617046328,4456777.31354457
426,406839.617060527,4456829.31354075
427,406350.617096505,4457226.31351154
428,405962.617125052,4457474.31349329
429,406407.617092311,4457487.31349234
430,406385.61709393,4458163.3134426
431,406878.617057658,4458577.31341214
432,406788.61706428,4458309.31343186
433,407048.61704515,4458251.31343612
434,407089.617042134,4458825.31339389
435,408124.616965984,4457846.31346592
436,407891.616983127,4458099.31344731
437,407680.616998651,4458510.31341707
438,407576.617006303,4458346.31342913
439,407647.617001079,4458487.31341876
440,407575.617006377,4458504.31341751
441,407503.617011674,4458650.31340677
442,407473.617013881,4458686.31340412
443,405433.617163973,4457164.3135161
444,405601.617151612,4457786.31347034
445,405259.617176775,4457844.31346607
446,405019.617194433,4458742.3134
447,405407.617165886,4459242.31336321
448,405365.617168976,4459242.31336321
449,406142.617111809,4459605.3133365
450,405234.617178614,4459851.31331841
451,405753.617140429,4460057.31330325
452,405896.617129908,4460005.31330707
453,405876.617131379,4460147.31329663
454,405840.617134028,4458496.3134181
455,407536.617009246,4459175.31336814
456,407518.61701057,4458975.31338286
457,406198.617107689,4459473.31334622
458,406198.617107689,4459616.3133357
459,407237.617031245,4459629.31333474
460,407287.617027566,4459520.31334276
461,406896.617056334,4459785.31332326
462,406545.617082158,4459749.31332591
463,406214.617106511,4459842.31331907
464,407816.616988645,4459626.31333496
465,408342.616949945,4459507.31334371
466,408301.616952962,4459580.31333834
467,407988.61697599,4459866.3133173
468,408068.616970105,4460262.31328817
469,408316.616951858,4460668.31325829
470,408175.616962232,4460503.31327043
471,408767.616918676,4459336.3133563
472,408537.616935598,4459508.31334364
473,409199.616886892,4459992.31330803
474,408443.616942514,4460889.31324203
475,408647.616927505,4461255.31321511
476,409016.616900356,4461666.31318487
477,408383.616946929,4461340.31320885
478,408846.616912864,4461495.31319745
479,408958.616904623,4461637.313187
480,408645.616927652,4461726.31318045
481,405551.617155291,4460106.31329964
482,405535.617156468,4460143.31329692
483,404996.617196125,4460235.31329015
484,405907.617129099,4460202.31329258
485,405623.617149994,4460461.31327352
486,405855.617132925,4460966.31323637
487,405056.61719171,4460891.31324189
488,405509.617158381,4461507.31319657
489,405854.617132998,4460978.31323549
490,405902.617129467,4461045.31323056
491,407142.617038234,4460726.31325403
492,408230.616958186,4460966.31323637
493,408052.616971282,4461769.31317729
494,408259.616956052,4461999.31316037
495,408131.616965469,4461902.3131675
496,408418.616944354,4462341.3131352
497,407387.617020209,4462121.31315139
498,407823.61698813,4462439.31312799
499,407664.616999829,4462318.3131369
500,407885.616983569,4462409.3131302
501,407475.617013734,4462273.31314021
502,407685.616998283,4462500.31312351
503,406234.61710504,4461013.31323291
504,406593.617078627,4461259.31321481
505,405539.617156174,4462632.31311379
506,406701.617070681,4462867.3130965
507,407718.616995856,4462509.31312284
508,407155.617037278,4463150.31307568
509,407493.61701241,4463403.31305707
510,406602.617077965,4463268.313067
511,406855.61705935,4463633.31304015
512,406473.617087456,4463380.31305876
513,407183.617035218,4463827.31302587
514,407055.617044635,4463900.3130205
515,405374.617168314,4462711.31310798
516,405130.617186266,4462752.31310497
517,407870.616984672,4462700.31310879
518,408521.616936775,4462357.31313403
519,408147.616964292,4463160.31307495
520,408518.616936996,4463210.31307127
521,407457.617015058,4463339.31306178
522,407497.617012115,4463414.31305626
523,407493.61701241,4463416.31305611
524,408123.616966058,4463886.31302153
525,407268.617028964,4464377.31298541
526,408065.616970325,4464398.31298386
527,404950.617199509,4463333.31306222
528,405208.617180527,4463871.31302264
529,406763.617066119,4463853.31302396
530,406899.617056113,4463931.31301822
531,406534.617082968,4464157.31300159
532,406718.61706943,4464245.31299512
533,406416.617091649,4464183.31299968
534,406711.617069945,4464253.31299453
535,406243.617104378,4464257.31299424
536,405965.617124831,4464333.31298865
537,406295.617100552,4464430.31298151
538,406163.617110264,4464415.31298261
539,404894.61720363,4464060.31300873
540,405427.617164414,4464425.31298188
541,405298.617173905,4464511.31297555
542,404837.617207823,4464473.31297834
543,405163.617183838,4464717.31296039
544,404780.617212017,4464751.31295789
545,404275.617249172,4464630.31296679
546,404592.617225849,4464808.3129537
547,407014.617047652,4464757.31295745
548,407631.617002257,4464965.31294215
549,408596.616931257,4464621.31296746
550,407208.617033378,4465177.31292655
551,408376.616947444,4465818.31287939
552,407669.616999461,4465805.31288034
553,407761.616992692,4465826.3128788
554,407924.616980699,4465950.31286968
555,407543.617008731,4466104.31285834
556,407406.617018811,4466022.31286438
557,407001.617048608,4466400.31283657
558,408727.616921619,4465867.31287578
559,407961.616977977,4466421.31283502
560,408641.616927946,4466039.31286313
561,404581.617226658,4465341.31291448
562,404961.6171987,4465375.31291198
563,404042.617266315,4465321.31291595
564,404400.617239975,4465376.31291191
565,404248.617251159,4465398.31291029
566,405484.617160221,4465543.31289962
567,405439.617163531,4465443.31290698
568,405761.617139841,4465660.31289101
569,405201.617181042,4465559.31289844
570,405858.617132704,4465634.31289292
571,406025.617120417,4465651.31289167
